1,南通海门变,121.182,31.902,220,22001
2,长兴站,121.697,31.39,220,22005
3,中双港站,121.405,31.662,220,3501
4,堡北站,121.631,31.572,220,3516
5,陈家镇站,121.81,31.498,220,3517
6,红星站,121.372,31.787,110,3507
7,南门站,121.394,31.618,110,3505
8,新海站,121.297,31.819,110,3506
9,长江站,121.539,31.678,110,3508
10,竖河站,121.591,31.602,110,3509
11,汲浜站,121.761,31.533,110,3526
12,建设站,121.456,31.655,35,1006
13,大同站,121.489,31.627,35,1007
14,新河站,121.525,31.583,35,1020
15,堡镇站,121.619,31.537,35,1021
16,陈东站,121.82,31.497,35,1026
17,森林站,121.479,31.677,35,1008
18,湄洲站,121.408,31.62,35,1009
19,崇安站,121.341,31.664,35,1012
20,新闸站,121.381,31.635,35,1013
21,跃进站,121.225,31.813,35,1014
22,富盛站,121.517,31.589,35,1022
23,上船站,121.555,31.562,35,1023
24,明珠站,121.412,31.638,35,1010
25,三星站,121.288,31.744,35,1015
26,东风站,121.491,31.712,35,1016
27,裕安站,121.831,31.524,35,1027
28,前哨站,121.87,31.526,35,1028
29,园区站,121.396,31.636,35,1011
30,启隆站,121.456,31.775,35,1018
31,前进站,121.6,31.643,35,1024
32,港沿站,121.657,31.589,35,1025
33,庙镇站,121.35,31.714,35,1017
34,前卫站,121.512,31.719,35,1019
35,五站,121.664,31.54,35,1030
