name,Longitude,Latitude,bus_i,type,pd_max,qd_max,gs,bs,area,vm,va,basekv,zone,vmax,vmin,cap(mva),voltagegra,father,kind
南通海门变,121.182,31.902,22001,2,0,0,0,0,1,1,0,220,1,1.1,0.9,480,-1,22001,2
长兴站,121.697,31.39,22005,3,0,0,0,0,1,1,0,220,1,1.1,0.9,480,-1,22005,2
中双港站,121.405,31.662,3501,1,10,0,0,0,1,1,0,35,1,1.1,0.9,240,220,3501,0
堡北站,121.631,31.572,3516,1,0,0,0,0,1,1,0,35,1,1.1,0.9,480,220,3516,0
陈家镇站,121.81,31.498,3517,1,0,0,0,0,1,1,0,35,1,1.1,0.9,480,220,3517,0
红星站,121.372,31.787,3507,1,0,0,0,0,1,1,0,35,1,1.1,0.9,40,110,3507,0
南门站,121.394,31.618,3505,1,0,0,0,0,1,1,0,35,1,1.1,0.9,126,110,3505,0
新海站,121.297,31.819,3506,1,0,0,0,0,1,1,0,35,1,1.1,0.9,63,110,3506,0
长江站,121.539,31.678,3508,1,5,0,0,0,1,1,0,35,1,1.1,0.9,51.5,110,3508,0
竖河站,121.591,31.602,3509,1,0,0,0,0,1,1,0,35,1,1.1,0.9,63,110,3509,0
汲浜站,121.761,31.533,3526,1,0,0,0,0,1,1,0,35,1,1.1,0.9,63,110,3526,0
建设站,121.456,31.655,1006,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1006,0
大同站,121.489,31.627,1007,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1007,0
新河站,121.525,31.583,1020,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1020,0
堡镇站,121.619,31.537,1021,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1021,0
陈东站,121.82,31.497,1026,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1026,0
森林站,121.479,31.677,1008,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1008,0
湄洲站,121.408,31.62,1009,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1009,0
崇安站,121.341,31.664,1012,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1012,0
新闸站,121.381,31.635,1013,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1013,0
跃进站,121.225,31.813,1014,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1014,0
富盛站,121.517,31.589,1022,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1022,0
上船站,121.555,31.562,1023,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1023,0
明珠站,121.412,31.638,1010,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1010,0
三星站,121.288,31.744,1015,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1015,0
东风站,121.491,31.712,1016,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1016,0
裕安站,121.831,31.524,1027,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1027,0
前哨站,121.87,31.526,1028,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1028,0
园区站,121.396,31.636,1011,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1011,0
启隆站,121.456,31.775,1018,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1018,0
前进站,121.6,31.643,1024,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1024,0
港沿站,121.657,31.589,1025,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1025,0
庙镇站,121.35,31.714,1017,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1017,0
前卫站,121.512,31.719,1019,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1019,0
五站,121.664,31.54,1030,1,11.1,1.9,0,0,1,1,0,10,1,1.1,0.9,24.8,35,1030,0
-1,-1,-1,1001,1,0,0,0,0,1,1,0,10,1,1.1,0.9,-1,-1,3505,1
-1,-1,-1,1002,1,0,0,0,0,1,1,0,10,1,1.1,0.9,-1,-1,3506,1
-1,-1,-1,1003,1,0,0,0,0,1,1,0,10,1,1.1,0.9,-1,-1,3507,1
-1,-1,-1,1004,1,0,0,0,0,1,1,0,10,1,1.1,0.9,-1,-1,3508,1
-1,-1,-1,1005,1,0,0,0,0,1,1,0,10,1,1.1,0.9,-1,-1,3509,1
-1,-1,-1,1029,1,0,0,0,0,1,1,0,10,1,1.1,0.9,-1,-1,3526,1
-1,-1,-1,3502,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,3501,1
-1,-1,-1,3503,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1006,1
-1,-1,-1,3504,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1007,1
-1,-1,-1,3510,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,3508,1
-1,-1,-1,3511,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1020,1
-1,-1,-1,3512,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1015,1
-1,-1,-1,3513,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1016,1
-1,-1,-1,3514,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1017,1
-1,-1,-1,3515,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1018,1
-1,-1,-1,3518,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1021,1
-1,-1,-1,3519,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1023,1
-1,-1,-1,3520,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1023,1
-1,-1,-1,3521,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1024,1
-1,-1,-1,3522,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1025,1
-1,-1,-1,3523,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1027,1
-1,-1,-1,3524,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1028,1
-1,-1,-1,3525,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1028,1
-1,-1,-1,3527,1,0,0,0,0,1,1,0,35,1,1.1,0.9,-1,-1,1030,1
-1,-1,-1,11001,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3501,1
-1,-1,-1,11002,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3501,1
-1,-1,-1,11003,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3505,1
-1,-1,-1,11004,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3505,1
-1,-1,-1,11005,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3506,1
-1,-1,-1,11006,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3507,1
-1,-1,-1,11007,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3508,1
-1,-1,-1,11008,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3509,1
-1,-1,-1,11009,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3509,1
-1,-1,-1,11010,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3516,1
-1,-1,-1,11011,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3517,1
-1,-1,-1,11012,2,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3506,1
-1,-1,-1,11013,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3526,1
-1,-1,-1,11014,1,0,0,0,0,1,1,0,110,1,1.1,0.9,-1,-1,3526,1
-1,-1,-1,22002,1,0,0,0,0,1,1,0,220,1,1.1,0.9,-1,-1,3501,1
-1,-1,-1,22003,1,0,0,0,0,1,1,0,220,1,1.1,0.9,-1,-1,3516,1
-1,-1,-1,22004,1,0,0,0,0,1,1,0,220,1,1.1,0.9,-1,-1,3517,1
电动汽车充电站,121.84056,31.49028,1099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
前卫风电,121.512,31.719,8801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,110,8801,0
北堡港风电,121.69179,31.64071,8802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,110,8802,0
崇明岛燃气,121.48726,31.595001,8803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,800,110,8803,0
北沿风电,121.881944,31.555,8804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,110,8804,0
